LGA,Top Road,Segment Origin,Segment Destination,Intersection,Latitude,Longitude
Banyule,Banksia Rd / Bell St,Waterdale Rd,Bulleen Rd,Greensborough Bypass / Diamond Creek Rd,-37.7136,145.0522
Bayside,Bay Rd,Beach Rd,Nepean Hwy,Highett Rd / Bluff Rd,-37.9358,145.0269
Boroondara,Power St / Denmark St / Princess St,Riversdale Rd,Earl St,Toorak Rd / Camberwell Rd,-37.8241,145.0352
Brimbank,Calder Hwy,Calder Park Dr,Keilor Park Dr,Calder Park Dr / Calder Fwy,-37.7134,144.8324
Cardinia,Princes Hwy,Tynong Rd,Tonimbuk Rd,Princes Hwy / Gumbuya World,-38.086,145.7076
Casey,Clyde Rd / Berwick-Cranbourne Rd,Princes Fwy,Pattersons Rd,Princes Fwy / Clyde Rd,-38.0991,145.3431
Darebin,Cheddar Rd,High St,Settlement Rd,Bell St / St Georges Rd,-37.7329,145.0003
Frankston,Cranbourne Rd,Fletcher Rd,Peninsula Link,Seaford Rd / Frankston Fwy,-38.1452,145.1375
Glen Eira,Dandenong Rd,Chapel St,Chadstone Rd,Dandenong Rd / Grange Rd,-37.8785,145.02
Greater Dandenong,Princes Hwy,Westall Rd,Heatherton Rd,Springvale Rd / Princes Hwy,-37.9805,145.1681
Hobsons Bay,Westgate Fwy / Princes Fwy,Westgate Bridge,Kororoit Creek Rd,Kororoit Creek Rd / Millers Rd,-37.8324,144.8826
Hume,Sunbury Rd / Bulla Rd,Melbourne Airport,Loemans Rd,Kangaroo Rd / Bardwell Dr,-37.649,144.8472
Kingston,Balcombe Rd / Lower Dandenong Rd,Charman Rd,Boundary Rd,Nepean Hwy / McLeod Rd,-37.9762,145.0368
Knox,Boronia Rd,Canterbury Rd,Dorset Rd,Wellington Rd / Stud Rd,-37.8605,145.2433
Manningham,Doncaster Rd,Williamsons Rd,Ringwood-Warrandyte Rd / Croydon Rd,Manningham Rd / Ayr St,-37.789,145.1696
Maribyrnong,Barkly St / Hopkins St,Ashley St,Maribyrnong River,Hopkins St / Joseph Rd,-37.7818,144.8975
Maroondah,Maroondah Hwy,Ringwood Bypass,Croydon Rd,Maroondah Hwy / Yarra Rd,-37.812,145.2714
Melbourne,St Kilda Rd,Princes Bridge,Charnwood Rd,Flemington Rd / Royal Pde,-37.8199,144.9672
Melton,Western Fwy,Melton Hwy,Hopkins Rd,Melton Hwy / The Regency,-37.6867,144.5713
Merri-bek,Sydney Rd,Brunswick Rd,Jukes Rd,Park Street / Royal Pde,-37.764,144.9618
Monash,North Rd,Warrigal Rd,Clayton Rd,Wellington Rd / Princes Hwy,-37.9115,145.1173
Moonee Valley,Mount Alexander Rd,Boundary Rd,Bulla Rd,Mount Alexander Rd / Keller Rd,-37.7555,144.9216
Mornington Peninsula,Nepean Hwy,Craigie Rd,Mornington Peninsula Fwy,Mornington Peninsula Fwy / Jetty Rd,-38.2264,145.0411
Nillumbik,Yan Yean Rd,Kurraj Rd,Bridge Inn Rd,Main Rd / Fitzsimons Ln,-37.6525,145.1355
Port Phillip,Bay St,Beach St,Montague St,Liardet St / Bay St,-37.8399,144.9445
Stonnington,Toorak Rd,Punt Rd,Monash Fwy,Monash Fwy / Toorak Rd,-37.8373,145.0117
Whitehorse,Canterbury Rd,Warrigal Rd,Mitcham Rd,Canterbury Rd / Boronia Rd,-37.8265,145.1534
Whittlesea,Plenty Rd,Metropolitan Ring Rd,McDonalds Rd,Settlement Rd / Dalton Rd,-37.6832,145.0485
Wyndham,Point Cook Rd,Central Ave,Point Cook Homestead Rd,Princes Fwy / Geelong Rd Exit,-37.8905,144.7475
Yarra,Bridge Rd,Hoddle St,Yarra River,Twickenham Cres / Loyola Ave,-37.8166,144.9917
Yarra Ranges,Clegg Rd / Warburton Hwy,Hereford Rd,Sunnyside Rd,Wellington Rd / Dorring Rd,-37.781,145.3678
